,Date,Trigger_Type,Trigger_Onset_Time,Trial_Delay,Response_Time
0,2019-06-04 14:51:10,1,1.00651097298,1.496,0.0
1,,2,2.52486085892,1.534,0.0
2,,1,4.09007000923,1.789,0.0
3,,2,5.89653205872,1.949,0.396884918213
4,,1,7.86681985855,1.592,0.0
5,,1,9.48858499527,1.845,0.0
6,,1,11.3624460697,1.579,0.0
7,,1,12.9562280178,1.756,0.0
8,,1,14.7337009907,1.841,0.0
9,,1,16.5893199444,1.677,0.0
10,,1,18.2852499485,1.832,0.0
11,,1,20.1499259472,1.95,0.0
12,,1,22.1277718544,1.953,0.0
13,,1,24.1111190319,1.934,0.0
14,,1,26.0676269531,1.874,0.0
15,,1,27.9717960358,1.505,0.0
16,,1,29.5123209953,1.563,0.0
17,,1,31.1010038853,1.898,0.0
18,,1,33.0153989792,1.516,0.0
19,,1,34.5631709099,1.55,0.0
20,,1,36.1357600689,1.868,0.0
21,,1,38.0250198841,1.534,0.0
22,,1,39.5916669369,1.746,0.0
23,,2,41.3643610477,1.835,0.441605091095
24,,2,43.2320039272,1.724,0.374888181686
25,,1,44.9811389446,1.969,0.0
26,,1,46.9664640427,1.791,0.0
27,,1,48.7873208523,1.726,0.0
28,,1,50.5342628956,1.82,0.0
29,,1,52.3973948956,1.881,0.0
30,,1,54.3091499805,1.871,0.0
31,,1,56.2092089653,1.898,0.0
32,,1,58.1356639862,1.724,0.0
33,,1,59.8906340599,1.97,0.0
34,,1,61.8827030659,1.982,0.0
35,,1,63.890157938,1.586,0.0
36,,1,65.4984819889,1.911,0.0
37,,1,67.4385330677,1.924,0.0
38,,1,69.387472868,1.59,0.0
39,,1,71.0180928707,1.882,0.0
40,,2,72.9401450157,1.885,0.440742015839
41,,2,74.8483579159,1.633,0.372887134552
42,,1,76.5201158524,1.535,0.0
43,,1,78.0780389309,1.562,0.0
44,,2,79.6789119244,1.715,0.341179132462
45,,1,81.4325289726,1.842,0.0
46,,2,83.3001379967,1.536,0.28778386116
47,,1,84.8575699329,1.607,0.0
48,,1,86.5046749115,1.581,0.0
49,,1,88.1184799671,1.903,0.0
50,,1,90.0511929989,1.657,0.0
51,,1,91.7248950005,1.619,0.0
52,,1,93.3658699989,1.897,0.0
53,,1,95.284348011,1.972,0.0
54,,1,97.289511919,1.515,0.0
55,,2,98.832474947,1.977,0.363059043884
56,,1,100.833987951,1.583,0.0
57,,2,102.439136982,1.972,0.311367988586
58,,1,104.440278053,1.915,0.0
59,,1,106.38270998,1.897,0.0
60,,1,108.304735899,1.887,0.0
61,,1,110.213944912,1.768,0.0
62,,1,112.004826069,1.849,0.0
63,,2,113.88673687,1.847,0.322708845139
64,,1,115.764733076,1.79,0.0
65,,1,117.588106871,1.648,0.0
66,,1,119.258219957,1.56,0.0
67,,1,120.838089943,1.499,0.0
68,,1,122.360522032,1.839,0.0
69,,2,124.236397982,1.567,0.312652111053
70,,1,125.844083071,1.512,0.0
71,,1,127.370490074,1.55,0.0
72,,1,128.937098026,1.952,0.0
73,,1,130.918813944,1.836,0.0
74,,1,132.773577929,1.778,0.0
75,,2,134.575229883,1.818,0.309685945511
76,,1,136.425521851,1.628,0.0
77,,2,138.095571995,1.897,0.471852064133
78,,2,140.015181065,1.651,0.442633867264
79,,2,141.688152075,1.874,0.50034403801
80,,1,143.580129862,1.924,0.0
81,,2,145.523000002,1.639,0.365166187286
82,,2,147.185435057,1.949,0.58597612381
83,,1,149.165704966,1.764,0.0
84,,1,150.953594923,1.623,0.0
85,,1,152.598573923,1.747,0.0
86,,1,154.37518096,1.859,0.0
87,,1,156.27630496,1.886,0.0
88,,1,158.18183589,1.85,0.0
89,,1,160.047752857,1.835,0.0
90,,1,161.912925005,1.779,0.0
91,,2,163.715561867,1.823,0.633512020111
92,,1,165.570040941,1.638,0.0
93,,1,167.229801893,1.863,0.0
94,,1,169.12096405,1.914,0.0
95,,1,171.059779882,1.802,0.0
96,,1,172.89000988,1.888,0.0
97,,2,174.805796862,1.758,0.437451839447
98,,1,176.585975885,1.852,0.0
99,,2,178.459403038,1.787,0.423546791077
100,,2,180.284576893,1.623,0.402745008469
101,,1,181.929064035,1.693,0.0
102,,1,183.650758982,1.826,0.0
