timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1005.532,-168.945,-384.766,-838.379,-429.688,-659.180,0
1005.536,-828.125,-1000.000,-994.141,722.168,-989.746,0
1005.540,98.145,-728.027,-915.039,-429.688,-714.355,0
1005.544,-1000.000,-15.625,-728.027,-1000.000,-375.488,0
1005.548,-351.074,-209.961,-792.969,-937.500,-491.699,0
1005.552,-844.238,-957.031,-984.375,458.008,-870.117,0
1005.556,280.762,-873.535,-954.590,270.020,-828.125,0
1005.560,-1000.000,-147.949,-664.062,-1000.000,16.113,0
1005.564,-852.051,-8.789,-656.738,-1000.000,-49.316,0
1005.568,767.090,-722.168,-944.336,37.598,-824.707,0
1005.572,608.398,-1000.000,-996.582,341.309,-993.164,0
1005.575,-936.035,-409.668,-817.871,-970.215,-526.855,0
1005.579,-1000.000,62.500,-666.504,-1000.000,-237.305,0
1005.583,78.613,-494.629,-861.328,-113.281,-707.520,0
1005.587,-895.996,-1000.000,-1000.000,704.102,-1000.000,0
1005.591,-302.734,-639.160,-897.949,-686.523,-790.039,0
1005.595,-1000.000,30.762,-675.293,-1000.000,-301.270,0
1005.599,-182.617,-343.262,-765.137,-528.809,-339.844,0
1005.603,-810.059,-1000.000,-993.652,925.293,-928.223,0
1005.607,248.047,-779.785,-935.547,25.391,-835.938,0
1005.611,-1000.000,-92.285,-756.836,-1000.000,-558.105,0
1005.614,-467.285,-165.527,-738.770,-996.582,-298.340,0
1005.618,-876.465,-882.812,-933.105,404.297,-512.695,0
1005.622,283.691,-934.082,-980.469,336.914,-965.820,0
1005.626,-1000.000,-271.973,-794.434,-1000.000,-647.461,0
1005.630,-951.660,-8.301,-713.867,-1000.000,-525.391,0
1005.634,582.031,-642.090,-899.414,44.922,-781.250,0
1005.638,788.086,-1000.000,-1000.000,497.070,-993.652,0
1005.642,-791.992,-502.930,-863.281,-905.762,-756.836,0
1005.646,-1000.000,47.852,-668.945,-1000.000,-323.730,0
1005.650,-46.875,-446.777,-809.082,-187.012,-589.844,0
1005.654,-826.172,-1000.000,-1000.000,960.938,-944.824,0
1005.657,-82.031,-689.941,-914.062,-336.914,-724.121,0
1005.661,-1000.000,-17.578,-746.094,-1000.000,-555.664,0
1005.665,-192.383,-329.590,-824.707,-615.723,-711.914,0
1005.669,-801.758,-1000.000,-987.793,898.438,-982.422,0
1005.673,276.367,-818.359,-949.219,183.105,-908.203,0
1005.677,-1000.000,-122.559,-737.305,-1000.000,-495.117,0
1005.681,-570.801,-114.746,-730.957,-1000.000,-426.270,0
1005.685,-922.852,-841.309,-964.844,340.820,-920.898,0
1005.689,411.621,-958.008,-965.820,369.141,-865.723,0
1005.693,-1000.000,-303.711,-763.184,-1000.000,-400.391,0
1005.697,-1000.000,29.297,-667.480,-1000.000,-286.621,0
1005.700,356.445,-571.289,-862.305,-12.695,-633.789,0
1005.704,939.453,-1000.000,-1000.000,646.973,-1000.000,0
1005.708,-605.957,-528.320,-812.012,-789.551,-503.906,0
1005.712,-1000.000,87.891,-598.145,-1000.000,-16.113,0
1005.716,-162.109,-417.480,-825.684,-248.535,-676.758,0
1005.720,-829.102,-1000.000,-1000.000,-973.145,-1000.000,0
1005.724,48.828,-714.355,-914.551,-164.551,-831.055,0
1005.728,-1000.000,-14.160,-719.727,-1000.000,-454.102,0
1005.732,-235.840,-270.020,-800.781,-719.727,-598.633,0
1005.736,-807.129,-996.094,-988.770,818.848,-991.699,0
1005.739,273.926,-847.168,-946.777,287.109,-840.820,0
1005.743,-1000.000,-152.344,-742.676,-1000.000,-394.531,0
1005.747,-717.285,-35.645,-652.344,-1000.000,-48.828,0
1005.751,938.477,-747.070,-888.184,223.633,-539.551,0
1005.755,542.480,-1000.000,-999.023,374.512,-1000.000,0
1005.759,-967.773,-385.254,-846.680,-995.117,-708.496,0
1005.763,-1000.000,41.504,-709.961,-1000.000,-437.988,0
1005.767,201.172,-513.672,-848.633,-64.941,-637.695,0
1005.771,-934.570,-1000.000,-1000.000,759.277,-1000.000,0
1005.775,-404.297,-595.703,-885.742,-662.109,-784.668,0
1005.779,-1000.000,51.758,-714.355,-1000.000,-502.930,0
1005.782,-175.781,-373.535,-828.125,-331.543,-629.883,0
1005.786,-815.918,-1000.000,-996.582,-936.035,-963.867,0
1005.790,166.016,-745.605,-915.527,0.488,-788.574,0
1005.794,-1000.000,-25.391,-698.730,-1000.000,-301.758,0
1005.798,-369.629,-197.266,-765.137,-880.859,-463.867,0
1005.802,-843.262,-945.801,-980.469,624.512,-916.016,0
1005.806,279.785,-894.531,-966.797,333.496,-848.145,0
1005.810,-1000.000,-217.773,-802.246,-1000.000,-582.031,0
1005.814,-865.234,-31.250,-760.742,-1000.000,-549.805,0
1005.818,743.164,-696.777,-934.570,96.191,-838.867,0
1005.822,664.551,-1000.000,-992.676,456.055,-981.445,0
1005.825,-902.344,-437.012,-854.492,-938.477,-712.402,0
1005.829,-1000.000,66.406,-707.031,-1000.000,-452.637,0
1005.833,49.805,-466.309,-841.309,-106.934,-629.395,0
1005.837,-849.609,-1000.000,-1000.000,876.953,-1000.000,0
1005.841,-206.543,-607.422,-815.918,-492.676,-422.852,0
1005.845,-1000.000,76.660,-630.371,-1000.000,-87.402,0
1005.849,-186.523,-333.496,-828.613,-513.672,-696.289,0
1005.853,-806.152,-1000.000,-998.535,941.895,-1000.000,0
1005.857,272.949,-770.020,-907.715,69.336,-724.121,0
1005.861,-1000.000,-49.805,-703.125,-1000.000,-331.543,0
1005.864,-503.906,-141.602,-779.785,-992.676,-568.848,0
1005.868,-889.648,-883.301,-971.191,439.941,-912.598,0
1005.872,312.012,-935.059,-977.051,343.262,-946.777,0
1005.876,-1000.000,-251.465,-769.043,-1000.000,-469.238,0
1005.880,-988.770,41.992,-648.438,-1000.000,-174.316,0
1005.884,527.832,-608.887,-880.371,36.621,-647.949,0
1005.888,800.781,-1000.000,-999.023,571.289,-988.281,0
1005.892,-775.391,-504.883,-870.117,-862.793,-768.066,0
1005.896,-1000.000,87.402,-627.930,-1000.000,-163.086,0
1005.900,-106.445,-402.832,-738.281,-182.129,-256.348,0
1005.904,-837.402,-1000.000,-1000.000,994.141,-1000.000,0
1005.907,-62.012,-686.035,-905.273,-277.832,-833.496,0
1005.911,-1000.000,20.508,-690.918,-1000.000,-456.543,0
1005.915,-191.895,-278.320,-768.066,-611.816,-499.023,0
1005.919,-801.758,-1000.000,-986.328,923.340,-921.387,0
1005.923,276.367,-823.242,-943.359,232.422,-891.113,0
1005.927,-1000.000,-107.910,-691.406,-1000.000,-350.098,0
1005.931,-610.352,-84.961,-692.383,-1000.000,-289.551,0
1005.935,-946.777,-812.988,-945.801,291.992,-667.480,0
1005.939,433.105,-978.516,-984.375,396.973,-904.785,0
1005.943,-1000.000,-340.332,-812.988,-1000.000,-676.758,0
1005.947,-1000.000,33.691,-687.500,-1000.000,-416.992,0
1005.950,292.480,-556.152,-866.699,-35.645,-708.984,0
1005.954,958.984,-1000.000,-1000.000,719.238,-1000.000,0
1005.958,-577.148,-565.430,-873.535,-715.820,-754.883,0
1005.962,-1000.000,53.711,-699.707,-1000.000,-471.680,0
1005.966,-166.504,-400.879,-823.242,-270.996,-695.801,0
1005.970,-829.590,-1000.000,-1000.000,-937.988,-1000.000,0
1005.974,64.941,-713.867,-896.973,-64.453,-718.750,0
1005.978,-1000.000,16.602,-660.156,-1000.000,-249.512,0
1005.982,-281.738,-214.355,-742.676,-764.648,-357.910,0
1005.986,-821.289,-981.445,-996.582,778.320,-937.500,0
1005.989,279.297,-841.797,-903.809,295.898,-670.898,0
1005.993,-1000.000,-125.488,-663.574,-1000.000,-75.684,0
1005.997,-748.535,-41.016,-744.141,-1000.000,-477.539,0
1006.001,902.344,-746.094,-953.125,178.223,-894.043,0
1006.005,579.590,-1000.000,-985.352,428.223,-963.379,0
